"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"DST","Cardinals ",3600,"Bal@Ari 08:30PM ET",11.167,"Ari"
"WR","Roddy White",3600,"Atl@Ten 01:00PM ET",5.133,"Atl"
"WR","Malcom Floyd",3600,"Oak@SD 04:05PM ET",8.833,"SD"
"WR","Jermaine Kearse",3600,"Sea@SF 08:25PM ET",8.567,"Sea"
"RB","Charles Sims",3600,"TB@Was 01:00PM ET",11.760,"TB"
"RB","Tre Mason",3600,"Cle@StL 01:00PM ET",2.450,"StL"
"RB","Tevin Coleman",3600,"Atl@Ten 01:00PM ET",5.125,"Atl"
"WR","Lance Moore",3500,"Min@Det 01:00PM ET",9.300,"Det"
"RB","Reggie Bush",3500,"Sea@SF 08:25PM ET",0.767,"SF"
"WR","Danny Amendola",3500,"NYJ@NE 01:00PM ET",9.320,"NE"
"WR","Stevie Johnson",3500,"Oak@SD 04:05PM ET",12.625,"SD"
"RB","David Johnson",3500,"Bal@Ari 08:30PM ET",11.583,"Ari"
"RB","Javorius Allen",3500,"Bal@Ari 08:30PM ET",3.017,"Bal"
"WR","Nelson Agholor",3500,"Phi@Car 08:30PM ET",3.500,"Phi"
"WR","Marques Colston",3400,"NO@Ind 01:00PM ET",7.600,"NO"
"RB","Theo Riddick",3400,"Min@Det 01:00PM ET",12.600,"Det"
"WR","Cecil Shorts III",3400,"Hou@Mia 01:00PM ET",12.180,"Hou"
"RB","Bishop Sankey",3400,"Atl@Ten 01:00PM ET",8.640,"Ten"
"DST","Falcons ",3300,"Atl@Ten 01:00PM ET",7.500,"Atl"
"TE","Benjamin Watson",3300,"NO@Ind 01:00PM ET",10.933,"NO"
"WR","Ted Ginn Jr.",3300,"Phi@Car 08:30PM ET",10.680,"Car"
"WR","Dwayne Harris",3300,"Dal@NYG 04:25PM ET",5.700,"NYG"
"RB","C.J. Spiller",3300,"NO@Ind 01:00PM ET",8.000,"NO"
"RB","Alfred Morris",3300,"TB@Was 01:00PM ET",6.733,"Was"
"TE","Jordan Cameron",3300,"Hou@Mia 01:00PM ET",8.200,"Mia"
"TE","Larry Donnell",3300,"Dal@NYG 04:25PM ET",9.050,"NYG"
"RB","Bilal Powell",3300,"NYJ@NE 01:00PM ET",7.360,"NYJ"
"RB","Benny Cunningham",3300,"Cle@StL 01:00PM ET",7.020,"StL"
"RB","Chris Thompson",3300,"TB@Was 01:00PM ET",9.333,"Was"
"RB","Alfred Blue",3300,"Hou@Mia 01:00PM ET",7.360,"Hou"
"WR","Robert Woods",3300,"Buf@Jax 09:30AM ET",7.183,"Buf"
"RB","Antonio Andrews",3300,"Atl@Ten 01:00PM ET",10.333,"Ten"
"WR","Chris Hogan",3300,"Buf@Jax 09:30AM ET",7.343,"Buf"
"DST","Patriots ",3200,"NYJ@NE 01:00PM ET",8.400,"NE"
"RB","DeAngelo Williams",3200,"Pit@KC 01:00PM ET",8.500,"Pit"
"RB","Toby Gerhart",3200,"Buf@Jax 09:30AM ET",2.225,"Jax"
"RB","Dexter McCluster",3200,"Atl@Ten 01:00PM ET",7.680,"Ten"
"RB","Ryan Mathews",3200,"Phi@Car 08:30PM ET",9.967,"Phi"
"WR","Michael Floyd",3200,"Bal@Ari 08:30PM ET",5.733,"Ari"
"WR","Cole Beasley",3200,"Dal@NYG 04:25PM ET",8.480,"Dal"
"TE","Zach Ertz",3200,"Phi@Car 08:30PM ET",6.617,"Phi"
"WR","Josh Huff",3200,"Phi@Car 08:30PM ET",6.120,"Phi"
